Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite Login,Chrome 103.0.5060.134,,,2022-08-11 14:23:24,2022-08-11 14:23:56,31.384s,PASSED
,,,,,,,
Test Cases/Login/TC_LOGIN_001,Chrome 103.0.5060.134,Verify the login of The Store,functional,2022-08-11 14:23:24,2022-08-11 14:23:40,15.394s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-08-11 14:23:25,2022-08-11 14:23:30,4.460s,PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Chrome 103.0.5060.134,,,2022-08-11 14:23:30,2022-08-11 14:23:34,4.374s,PASSED
"click(findTestObject(""Object Repository/Page_Katalon Ecommerce/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Chrome 103.0.5060.134,,,2022-08-11 14:23:34,2022-08-11 14:23:35,1.466s,PASSED
"setText(findTestObject(""Object Repository/Page_Katalon Ecommerce/Page_My account  Katalon Shop/input__username""), ""customer"")",Chrome 103.0.5060.134,,,2022-08-11 14:23:35,2022-08-11 14:23:36,0.838s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Katalon Ecommerce/Page_My account  Katalon Shop/input__password""), ""fcttOx1e+dws0mP0AWb2uMRTnZbRfS0W"")",Chrome 103.0.5060.134,,,2022-08-11 14:23:36,2022-08-11 14:23:37,0.617s,PASSED
"click(findTestObject(""Object Repository/Page_Katalon Ecommerce/Page_My account  Katalon Shop/button_Log in""))",Chrome 103.0.5060.134,,,2022-08-11 14:23:37,2022-08-11 14:23:38,1.642s,PASSED
"click(findTestObject(""Object Repository/Page_Katalon Ecommerce/Page_My account  Katalon Shop/p_Hello Katalon Parlitul_Changed (not Katal_3b376b""))",Chrome 103.0.5060.134,,,2022-08-11 14:23:38,2022-08-11 14:23:39,0.491s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-08-11 14:23:39,2022-08-11 14:23:40,0.898s,PASSED
,,,,,,,
Test Cases/Login/TC_LOGIN_002,Chrome 103.0.5060.134,Display login errors,Negative,2022-08-11 14:23:40,2022-08-11 14:23:56,15.625s,PASSED
"openBrowser("""")",Chrome 103.0.5060.134,,,2022-08-11 14:23:40,2022-08-11 14:23:43,2.456s,PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Chrome 103.0.5060.134,,,2022-08-11 14:23:43,2022-08-11 14:23:48,4.923s,PASSED
"click(findTestObject(""Object Repository/Page_Katalon Ecommerce/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Chrome 103.0.5060.134,,,2022-08-11 14:23:48,2022-08-11 14:23:49,1.485s,PASSED
"setText(findTestObject(""Object Repository/Page_Katalon Ecommerce/Page_My account  Katalon Shop/input__username""), ""customer"")",Chrome 103.0.5060.134,,,2022-08-11 14:23:49,2022-08-11 14:23:50,0.815s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Katalon Ecommerce/Page_My account  Katalon Shop/input__password""), ""vOA0cDqQbrEspEMv59VzcQ=="")",Chrome 103.0.5060.134,,,2022-08-11 14:23:50,2022-08-11 14:23:51,0.517s,PASSED
"click(findTestObject(""Object Repository/Page_Katalon Ecommerce/Page_My account  Katalon Shop/button_Log in""))",Chrome 103.0.5060.134,,,2022-08-11 14:23:51,2022-08-11 14:23:54,3.464s,PASSED
"click(findTestObject(""Object Repository/Page_Katalon Ecommerce/Page_My account  Katalon Shop/li_ERROR The password you entered for the u_646777""))",Chrome 103.0.5060.134,,,2022-08-11 14:23:54,2022-08-11 14:23:55,0.560s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-08-11 14:23:55,2022-08-11 14:23:56,0.849s,PASSED
